ApartmentID,Timestamp,Component,Building,Floor,Unit,LocX,LocY,LocZ,RotPitch,RotYaw,RotRoll,RotXMax,RotXMin,RotYMax,RotYMin,PerpendicularAngleDeg
2-05-504,2026.09.21-11.35.52:753,ViewCameraComponent504_2,2,05,504,-5508.309,-1048.175,15480.000,0.000000,47.778526,-0.000000,70.0,-50.0,40.0,-90.0,51.0
2-05-505,2026.09.21-11.35.52:753,ViewCameraComponent505_0,2,05,505,-6229.008,-463.441,15480.000,0.000000,50.052111,-0.000000,70.0,-50.0,40.0,-90.0,51.0
2-05-505,2026.09.21-11.35.52:753,ViewCameraComponent505_1,2,05,505,-6892.341,-278.594,15480.000,0.000000,89.121866,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-05-504,2026.09.21-11.35.52:753,ViewCameraComponent504_1,2,05,504,-5186.219,-1670.469,15480.000,-0.000000,-36.313351,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-07-701,2026.09.21-11.35.52:758,ViewCameraComponent701_0,2,07,701,-8695.776,-2460.793,16280.000,0.000000,139.387020,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-07-701,2026.09.21-11.35.52:759,ViewCameraComponent701_2,2,07,701,-6659.158,-3507.626,16280.000,-0.000000,-40.812853,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-07-702,2026.09.21-11.35.52:759,ViewCameraComponent702_0,2,07,702,-6076.359,-2763.210,16280.000,-0.000000,-68.885684,0.000000,80.0,-80.0,40.0,-90.0,321.0
2-07-702,2026.09.21-11.35.52:759,ViewCameraComponent702_2,2,07,702,-5492.622,-1062.785,16280.000,0.000000,82.152952,-0.000000,70.0,-50.0,40.0,-90.0,51.0
2-07-703,2026.09.21-11.35.52:759,ViewCameraComponent703_0,2,07,703,-6222.777,-451.706,16280.000,0.000000,69.796729,-0.000000,70.0,-50.0,40.0,-90.0,51.0
2-07-703,2026.09.21-11.35.52:759,ViewCameraComponent703_1,2,07,703,-6893.299,-280.076,16280.000,0.000000,78.616080,-0.000000,80.0,-80.0,40.0,-90.0,141.0
